feature,type,reference_mean,batch_mean,reference_std,batch_std,normalized_mean_diff,normalized_std_diff,drift_score,tvd
route_distance_km,numeric,3000.1366833333336,2926.3417999999997,2162.9919103285365,2103.658494579045,0.03411704083633176,0.0274311778357411,0.03411704083633176,
planned_transit_days,numeric,2.66257,2.6200300000000003,1.6440889269845793,1.6223967055471267,0.025874512808758066,0.013194068204837501,0.025874512808758066,
customs_complexity_score,numeric,2.8672011666666672,2.964531,1.5846601254898558,1.63114135781304,0.06142000531706812,0.029331988339654724,0.06142000531706812,
weather_risk_score,numeric,3.3359481666666664,6.2787939999999995,1.7855451722299414,1.7027177667944142,1.648149752301173,0.04638774012761895,1.648149752301173,
historical_route_delay_rate,numeric,0.24816718333333332,0.2502563,0.14537931068551543,0.1406031653641568,0.014370109865122735,0.03285299193425399,0.03285299193425399,
cargo_value_usd,numeric,13727.73122,13087.928969999999,35278.26840811491,29951.013404627607,0.018135874544591583,0.1510067031028626,0.1510067031028626,
port_congestion_score,numeric,2.8651083333333336,2.866997,1.6094086663450151,1.5984141073731957,0.001173515904419485,0.006831427717354233,0.006831427717354233,
shipment_mode,categorical,,,,,,,0.027500000000000024,0.027500000000000024
carrier_type,categorical,,,,,,,0.03949999999999999,0.03949999999999999
origin_region,categorical,,,,,,,0.03383333333333334,0.03383333333333334
destination_region,categorical,,,,,,,0.020333333333333342,0.020333333333333342
shipment_priority,categorical,,,,,,,0.006666666666666675,0.006666666666666675
