feature,type,reference_mean,batch_mean,reference_std,batch_std,normalized_mean_diff,normalized_std_diff,drift_score,tvd
route_distance_km,numeric,3000.1366833333336,5402.7687000000005,2162.9919103285365,3639.6427927131613,1.1107910321780776,0.6826890453604778,1.1107910321780776,
planned_transit_days,numeric,2.66257,4.18487,1.6440889269845793,2.584410795957613,0.9259231511230039,0.5719410024235588,0.9259231511230039,
customs_complexity_score,numeric,2.8672011666666672,2.8746140000000002,1.5846601254898558,1.6389663332862106,0.00467786954066349,0.034269940236911954,0.034269940236911954,
weather_risk_score,numeric,3.3359481666666664,3.3498449999999997,1.7855451722299414,1.8000848108634497,0.007782963740972067,0.008142968802827898,0.008142968802827898,
historical_route_delay_rate,numeric,0.24816718333333332,0.24177069999999998,0.14537931068551543,0.14009140770948098,0.043998580700181034,0.03637314657154519,0.043998580700181034,
cargo_value_usd,numeric,13727.73122,12073.13816,35278.26840811491,28079.094192371285,0.04690119823509819,0.2040682420253833,0.2040682420253833,
port_congestion_score,numeric,2.8651083333333336,2.7326949999999997,1.6094086663450151,1.5566591938574161,0.08227452486262926,0.03277568562333743,0.08227452486262926,
shipment_mode,categorical,,,,,,,0.02250000000000002,0.02250000000000002
carrier_type,categorical,,,,,,,0.010833333333333306,0.010833333333333306
origin_region,categorical,,,,,,,0.029500000000000012,0.029500000000000012
destination_region,categorical,,,,,,,0.008666666666666684,0.008666666666666684
shipment_priority,categorical,,,,,,,0.018666666666666665,0.018666666666666665
